School_Number,School_Name,Tested_Count,Level_1,Level_2,Level_3,Level_4,Level_5,Grade,Attend_Rate_Pct,Withdrawals_Pct,Entrants_Pct,FARMS_Pct,Management_type,charter,pass,Enrolled_Count
240,Graceland ParkODonnel Heights Elementary,43,8,15,9,11,0,Grade 4,93.3,16.1,19.1,39,Traditional,0,20,456
63,Rosemont Elementary,43,11,18,11,3,0,Grade 4,88.1,22.8,14.5,72.6,Charter,1,14,329
53,Margaret Brent Elementary,44,10,8,12,14,0,Grade 3,91.3,10.5,15.5,51.8,Traditional,0,26,342
54,Barclay ElementaryMiddle,44,17,14,9,4,0,Grade 3,89,17.1,16.1,66.1,Traditional,0,13,461
60,Gwynns Falls Elementary,44,14,12,12,6,0,Grade 3,90.8,11.6,15.8,66.3,Traditional,0,18,358
81,North Bend Elementary,44,0,9,20,12,3,Grade 3,92.9,16.4,13.2,58.2,Traditional,0,35,479
122,The Historic Samuel ColeridgeTaylor Elementary,44,21,14,9,0,0,Grade 5,89.1,20,16.7,78.4,Traditional,0,9,357
229,Holabird Elementary,44,29,10,5,0,0,Grade 3,91.8,16.5,19.6,49.7,Traditional,0,5,470
34,Charles Carroll Barrister Elementary,45,13,10,12,10,0,Grade 4,94.8,22.9,18.4,57.7,Traditional,0,22,356
45,Federal Hill Preparatory School,45,8,10,11,16,0,Grade 4,93.1,12.8,9.5,43.9,Traditional,0,27,339
54,Barclay ElementaryMiddle,45,20,7,14,4,0,Grade 4,89,17.1,16.1,66.1,Traditional,0,18,461
150,Mary Ann Winterling Elementary at Bentalou,45,14,17,11,3,0,Grade 4,91.7,14.1,21.3,76.7,Traditional,0,14,264
159,Cherry Hill ElementaryMiddle,45,23,11,4,7,0,Grade 3,91.2,19.6,16.8,78,Traditional,0,11,457
210,Hazelwood ElementaryMiddle,45,18,12,10,5,0,Grade 3,91.5,20.6,20.6,63.6,Traditional,0,15,465
220,Morrell Park ElementaryMiddle,45,3,8,16,18,0,Grade 4,93.3,10.4,12.9,60.2,Traditional,0,34,424
226,Violetville ElementaryMiddle,45,11,5,11,15,3,Grade 3,90.7,10.4,14.7,46.5,Traditional,0,29,420
232,Thomas Jefferson Elementary,45,8,13,15,9,0,Grade 3,93.2,11.5,8.3,55.4,Traditional,0,24,454
240,Graceland ParkODonnel Heights Elementary,45,21,11,10,3,0,Grade 5,93.3,16.1,19.1,39,Traditional,0,13,456
241,Fallstaff Elementary,45,24,12,6,3,0,Grade 5,91.7,12.4,17,41.3,Traditional,0,9,488
328,Southwest Baltimore Charter School,45,10,7,12,16,0,Grade 3,92.7,2.5,2.5,64,Charter,1,28,398
10,James McHenry Elementary,46,21,20,5,0,0,Grade 3,88.9,23.3,26.2,84.5,Traditional,0,5,389
44,Montebello Elementary,46,21,12,9,4,0,Grade 4,91.2,13,16.7,70.2,Traditional,0,13,539
55,Hampden,46,5,4,8,17,12,Grade 3,94,6,8.3,33.8,Traditional,0,37,449
95,Franklin Square Elementary,46,13,19,6,8,0,Grade 3,91.8,14.8,16.3,80.7,Traditional,0,14,467
124,BayBrook Elementary,46,27,11,8,0,0,Grade 3,91.2,23.4,24.7,65,Traditional,0,8,455
159,Cherry Hill ElementaryMiddle,46,34,12,0,0,0,Grade 4,91.2,19.6,16.8,78,Traditional,0,0,457
211,Gardenville Elementary,46,10,13,14,9,0,Grade 4,91.7,14.5,17.1,60.7,Traditional,0,23,327
217,Belmont Elementary,46,31,10,5,0,0,Grade 3,93.3,15.6,16,78.1,Traditional,0,5,269
328,Southwest Baltimore Charter School,46,11,22,10,3,0,Grade 5,92.7,2.5,2.5,64,Charter,1,13,398
328,Southwest Baltimore Charter School,46,10,17,14,5,0,Grade 4,92.7,2.5,2.5,64,Charter,1,19,398
34,Charles Carroll Barrister Elementary,47,10,13,9,11,4,Grade 3,94.8,22.9,18.4,57.7,Traditional,0,24,356
217,Belmont Elementary,47,20,17,7,3,0,Grade 5,93.3,15.6,16,78.1,Traditional,0,10,269
373,Tunbridge Public Charter School,47,10,13,13,11,0,Grade 4,97.5,5.8,2.5,26.9,Charter,1,24,470
21,Hilton Elementary,48,7,12,16,13,0,Grade 3,90.4,19.3,21.1,65.5,Traditional,0,29,385
54,Barclay ElementaryMiddle,48,20,13,9,6,0,Grade 5,89,17.1,16.1,66.1,Traditional,0,15,461
95,Franklin Square Elementary,48,21,14,13,0,0,Grade 4,91.8,14.8,16.3,80.7,Traditional,0,13,467
124,BayBrook Elementary,48,33,12,3,0,0,Grade 5,91.2,23.4,24.7,65,Traditional,0,3,455
246,Beechfield Elementary,48,32,9,7,0,0,Grade 3,93.7,25.2,24.4,66.8,Traditional,0,7,604
248,Sinclair Lane Elementary,48,24,18,6,0,0,Grade 3,90.1,19.3,22.1,68.7,Traditional,0,6,366
122,The Historic Samuel ColeridgeTaylor Elementary,49,24,21,4,0,0,Grade 4,89.1,20,16.7,78.4,Traditional,0,4,357
150,Mary Ann Winterling Elementary at Bentalou,49,26,10,10,3,0,Grade 3,91.7,14.1,21.3,76.7,Traditional,0,13,264
201,Dickey Hill ElementaryMiddle,49,16,12,16,5,0,Grade 4,92.8,16.4,24,49.8,Traditional,0,21,383
207,Curtis Bay Elementary,49,26,20,3,0,0,Grade 5,88.8,22.6,24.2,63.7,Traditional,0,3,559
246,Beechfield Elementary,49,17,15,11,6,0,Grade 4,93.7,25.2,24.4,66.8,Traditional,0,17,604
256,Calvin M. Rodwell Elementary,49,9,17,9,14,0,Grade 4,92.1,12.5,15.7,62.6,Traditional,0,23,316
373,Tunbridge Public Charter School,49,8,8,16,14,3,Grade 3,97.5,5.8,2.5,26.9,Charter,1,33,470
29,Matthew A. Henson Elementary,50,19,15,13,3,0,Grade 5,90.5,13.2,15.7,78.7,Traditional,0,16,360
215,Highlandtown Elementary 215,50,23,15,12,0,0,Grade 3,93.4,9.1,18.2,47.8,Traditional,0,12,458
232,Thomas Jefferson Elementary,50,24,9,9,8,0,Grade 4,93.2,11.5,8.3,55.4,Traditional,0,17,454
21,Hilton Elementary,51,13,14,15,9,0,Grade 4,90.4,19.3,21.1,65.5,Traditional,0,24,385
29,Matthew A. Henson Elementary,51,23,15,10,3,0,Grade 4,90.5,13.2,15.7,78.7,Traditional,0,13,360
60,Gwynns Falls Elementary,51,18,10,11,12,0,Grade 5,90.8,11.6,15.8,66.3,Traditional,0,23,358
81,North Bend Elementary,51,12,20,13,6,0,Grade 4,92.9,16.4,13.2,58.2,Traditional,0,19,479
240,Graceland ParkODonnel Heights Elementary,51,8,9,10,20,4,Grade 3,93.3,16.1,19.1,39,Traditional,0,34,456
44,Montebello Elementary,52,19,16,10,7,0,Grade 5,91.2,13,16.7,70.2,Traditional,0,17,539
51,Waverly Elementary,52,35,11,6,0,0,Grade 5,93.2,15.6,12.1,67,Traditional,0,6,640
60,Gwynns Falls Elementary,52,17,18,14,3,0,Grade 4,90.8,11.6,15.8,66.3,Traditional,0,17,358
84,Thomas Johnson Elementary,52,0,5,9,27,11,Grade 4,97.5,5.2,2.5,17,Traditional,0,47,544
21,Hilton Elementary,53,17,20,8,8,0,Grade 5,90.4,19.3,21.1,65.5,Traditional,0,16,385
